Date,Ticker,Adj Close,Close,High,Low,Open,Volume,Sentiment Negative,Sentiment Neutral,Sentiment Positive
2025-03-27,BMRI.JK,5200.0,5200.0,5250.0,5050.0,5150.0,301025300,0,3,0
2025-03-27,BBRI.JK,4050.0,4050.0,4050.0,3930.0,4000.0,322553200,0,3,0
2025-03-27,BDMN.JK,2440.0,2440.0,2450.0,2390.0,2450.0,648500,1,0,0
2025-03-27,BBCA.JK,8500.0,8500.0,8575.0,8375.0,8425.0,122943900,0,0,2
2025-03-26,BBCA.JK,8525.0,8525.0,8650.0,8275.0,8300.0,283104600,0,0,2
2025-03-26,BBRI.JK,4000.0,4000.0,4020.0,3860.0,3870.0,540888800,0,3,0
2025-03-26,BDMN.JK,2400.0,2400.0,2450.0,2360.0,2380.0,1430000,1,0,0
2025-03-26,BMRI.JK,5150.0,5150.0,5175.0,4930.0,4980.0,582172700,0,3,0
2025-03-25,BBCA.JK,8050.0,8050.0,8150.0,8000.0,8075.0,136341700,0,0,2
2025-03-25,BBRI.JK,3800.0,3800.0,3840.0,3660.0,3660.0,331285900,0,3,0
2025-03-25,BMRI.JK,4740.0,4740.0,4810.0,4500.0,4500.0,313034100,0,3,0
2025-03-25,BDMN.JK,2370.0,2370.0,2380.0,2350.0,2380.0,702100,1,0,0
2025-03-24,BDMN.JK,2380.0,2380.0,2400.0,2310.0,2400.0,1406200,1,0,0
2025-03-24,BBRI.JK,3610.0,3610.0,3740.0,3520.0,3650.0,342883200,0,3,0
2025-03-24,BMRI.JK,4460.0,4460.0,4530.0,4250.0,4350.0,319017400,0,3,0
2025-03-24,BBCA.JK,7950.0,7950.0,8100.0,7625.0,7825.0,331836800,0,0,2
2025-03-21,BBCA.JK,7900.0,7900.0,8275.0,7900.0,8275.0,377916400,0,0,2
2025-03-21,BBRI.JK,3700.0,3700.0,3700.0,3550.0,3600.0,627645600,0,3,0
2025-03-21,BDMN.JK,2390.0,2390.0,2430.0,2370.0,2430.0,1340300,1,0,0
2025-03-21,BMRI.JK,4410.0,4410.0,4610.0,4380.0,4600.0,374396400,0,3,0
2025-03-20,BBCA.JK,8125.0,8375.0,8475.0,8350.0,8450.0,152917300,0,0,2
2025-03-20,BDMN.JK,2420.0,2420.0,2430.0,2410.0,2420.0,228200,1,0,0
2025-03-20,BMRI.JK,4620.0,4620.0,4770.0,4610.0,4760.0,138209700,0,3,0
2025-03-20,BBRI.JK,3660.0,3660.0,3760.0,3640.0,3730.0,313033000,0,3,0
2025-03-19,BBCA.JK,8076.49267578125,8325.0,8400.0,8225.0,8300.0,214108200,0,0,2
2025-03-19,BDMN.JK,2420.0,2420.0,2430.0,2380.0,2390.0,818300,1,0,0
2025-03-19,BBRI.JK,3710.0,3710.0,3780.0,3680.0,3710.0,352217700,0,3,0
2025-03-19,BMRI.JK,4680.0,4680.0,4700.0,4440.0,4530.0,273084900,0,3,0
2025-03-18,BBRI.JK,3680.0,3680.0,3860.0,3500.0,3840.0,416894600,0,3,0
2025-03-18,BDMN.JK,2390.0,2390.0,2440.0,2340.0,2440.0,1409300,1,0,0
2025-03-18,BBCA.JK,8052.23876953125,8300.0,8550.0,8075.0,8500.0,417305700,0,0,2
2025-03-18,BMRI.JK,4530.0,4530.0,4690.0,4300.0,4680.0,387565100,0,3,0
2025-03-17,BBRI.JK,3830.0,3830.0,3840.0,3730.0,3780.0,162467700,0,3,0
2025-03-17,BDMN.JK,2440.0,2440.0,2460.0,2430.0,2440.0,376200,1,0,0
2025-03-17,BBCA.JK,8343.2841796875,8600.0,8775.0,8550.0,8750.0,151365700,0,0,2
2025-03-17,BMRI.JK,4680.0,4680.0,4770.0,4660.0,4740.0,135692800,0,3,0
2025-03-14,BDMN.JK,2440.0,2440.0,2460.0,2410.0,2430.0,206800,1,0,0
2025-03-14,BBRI.JK,3750.0,3750.0,3840.0,3750.0,3750.0,156131900,0,3,0
2025-03-14,BBCA.JK,8488.806640625,8750.0,8925.0,8750.0,8800.0,111397800,0,0,2
2025-03-14,BMRI.JK,4740.0,4740.0,4800.0,4640.0,4640.0,154331400,0,3,0
2025-03-13,BDMN.JK,2430.0,2430.0,2470.0,2430.0,2470.0,150800,1,0,0
2025-03-13,BBRI.JK,3800.0,3800.0,3970.0,3800.0,3960.0,209225700,0,3,0
2025-03-13,BBCA.JK,8707.08984375,8975.0,9175.0,8975.0,9150.0,83030700,0,0,2
2025-03-13,BMRI.JK,4740.0,4740.0,4940.0,4710.0,4940.0,176286000,0,3,0
2025-03-12,BDMN.JK,2470.0,2470.0,2470.0,2420.0,2470.0,422100,1,0,0
2025-03-12,BBRI.JK,3890.0,3890.0,3920.0,3810.0,3810.0,271631200,0,3,0
2025-03-12,BBCA.JK,8852.6123046875,9125.0,9125.0,8975.0,9025.0,87968900,0,0,2
2025-03-12,BMRI.JK,4880.0,4880.0,4880.0,4750.0,4750.0,129973900,0,3,0
2025-03-11,BDMN.JK,2480.0,2480.0,2480.0,2400.0,2430.0,774700,1,0,0
2025-03-11,BBRI.JK,3790.0,3790.0,3790.0,3660.0,3700.0,273961800,0,3,0
2025-03-11,BBCA.JK,8658.58203125,8925.0,9050.0,8875.0,8950.0,109295600,0,0,2
2025-03-11,BMRI.JK,4740.0,4740.0,4780.0,4640.0,4650.0,150738100,0,3,0
2025-03-10,BBRI.JK,3760.0,3760.0,3810.0,3730.0,3790.0,232192200,0,3,0
2025-03-10,BDMN.JK,2430.0,2430.0,2440.0,2410.0,2430.0,196400,1,0,0
2025-03-10,BMRI.JK,4710.0,4710.0,4760.0,4660.0,4730.0,231152200,0,3,0
2025-03-10,BBCA.JK,8658.58203125,8925.0,8975.0,8725.0,8750.0,97652100,0,0,2
2025-03-07,BBRI.JK,3810.0,3810.0,3930.0,3810.0,3930.0,243793600,0,3,0
2025-03-07,BBCA.JK,8658.58203125,8925.0,9000.0,8925.0,9000.0,82295300,0,0,2
2025-03-07,BMRI.JK,4840.0,4840.0,4870.0,4810.0,4870.0,117916600,0,3,0
2025-03-07,BDMN.JK,2420.0,2420.0,2440.0,2410.0,2420.0,189800,1,0,0
2025-03-06,BBRI.JK,3950.0,3950.0,3990.0,3870.0,3870.0,434485100,0,3,0
2025-03-06,BBCA.JK,8707.08984375,8975.0,9200.0,8975.0,9200.0,96270100,0,0,2
2025-03-06,BDMN.JK,2400.0,2400.0,2460.0,2400.0,2420.0,474600,1,0,0
2025-03-06,BMRI.JK,4870.0,4870.0,4980.0,4870.0,4910.0,194909200,0,3,0
2025-03-05,BDMN.JK,2420.0,2420.0,2470.0,2410.0,2410.0,524300,1,0,0
2025-03-05,BBCA.JK,8731.34375,9000.0,9175.0,8825.0,8825.0,155207900,0,0,2
2025-03-05,BMRI.JK,4860.0,4860.0,5050.0,4860.0,4860.0,252222800,0,3,0
2025-03-05,BBRI.JK,3840.0,3840.0,3900.0,3710.0,3710.0,441151000,0,3,0
2025-03-04,BBCA.JK,8585.8212890625,8850.0,8925.0,8675.0,8900.0,125418500,0,0,2
2025-03-04,BDMN.JK,2410.0,2410.0,2510.0,2400.0,2420.0,1205300,1,0,0
2025-03-04,BMRI.JK,4840.0,4840.0,4920.0,4750.0,4900.0,144346500,0,3,0
2025-03-04,BBRI.JK,3670.0,3670.0,3720.0,3600.0,3680.0,338434700,0,3,0
2025-03-03,BBRI.JK,3670.0,3670.0,3740.0,3470.0,3520.0,744626800,0,3,0
2025-03-03,BDMN.JK,2420.0,2420.0,2440.0,2350.0,2390.0,808300,1,0,0
2025-03-03,BMRI.JK,4900.0,4900.0,4980.0,4700.0,4750.0,257118300,0,3,0
2025-03-03,BBCA.JK,8537.3134765625,8800.0,8900.0,8550.0,8600.0,192944300,0,0,2
2025-02-28,BDMN.JK,2380.0,2380.0,2420.0,2360.0,2420.0,1829600,1,0,0
2025-02-28,BMRI.JK,4600.0,4600.0,4690.0,4550.0,4620.0,464696700,0,3,0
2025-02-28,BBCA.JK,8173.5078125,8425.0,8675.0,8425.0,8525.0,293095000,0,0,2
2025-02-28,BBRI.JK,3360.0,3360.0,3540.0,3360.0,3500.0,1000597600,0,3,0
2025-02-27,BMRI.JK,4660.0,4660.0,4950.0,4660.0,4930.0,334919800,0,3,0
2025-02-27,BBCA.JK,8270.5224609375,8525.0,8800.0,8500.0,8800.0,199991600,0,0,2
2025-02-27,BDMN.JK,2420.0,2420.0,2450.0,2400.0,2440.0,709500,1,0,0
2025-02-27,BBRI.JK,3630.0,3630.0,3800.0,3610.0,3790.0,410928000,0,3,0
2025-02-26,BBCA.JK,8513.0595703125,8775.0,8900.0,8725.0,8800.0,117843500,0,0,2
2025-02-26,BBRI.JK,3820.0,3820.0,3860.0,3760.0,3800.0,242834100,0,3,0
2025-02-26,BDMN.JK,2430.0,2430.0,2490.0,2430.0,2470.0,1093300,1,0,0
2025-02-26,BMRI.JK,4920.0,4920.0,4980.0,4850.0,4860.0,161836900,0,3,0
2025-02-25,BBCA.JK,8561.5673828125,8825.0,9000.0,8825.0,8900.0,101592700,0,0,2
2025-02-25,BDMN.JK,2470.0,2470.0,2500.0,2460.0,2490.0,682000,1,0,0
2025-02-25,BBRI.JK,3800.0,3800.0,3920.0,3800.0,3880.0,404555100,0,3,0
2025-02-25,BMRI.JK,4870.0,4870.0,5025.0,4860.0,5000.0,224607800,0,3,0
2025-02-24,BBRI.JK,3920.0,3920.0,3940.0,3870.0,3900.0,138610800,0,3,0
2025-02-24,BDMN.JK,2490.0,2490.0,2520.0,2470.0,2520.0,610100,1,0,0
2025-02-24,BBCA.JK,8658.58203125,8925.0,8975.0,8875.0,8925.0,108530300,0,0,2
2025-02-24,BMRI.JK,5025.0,5025.0,5075.0,4980.0,5050.0,127578500,0,3,0
2025-02-21,BDMN.JK,2520.0,2520.0,2520.0,2480.0,2490.0,397300,1,0,0
2025-02-21,BBRI.JK,3890.0,3890.0,3930.0,3870.0,3910.0,205268800,0,3,0
2025-02-21,BMRI.JK,5075.0,5075.0,5100.0,5000.0,5000.0,152528600,0,3,0
2025-02-21,BBCA.JK,8731.34375,9000.0,9000.0,8925.0,8950.0,106054700,0,0,2
2025-02-20,BBRI.JK,3910.0,3910.0,4020.0,3910.0,3970.0,312753300,0,3,0
2025-02-20,BDMN.JK,2500.0,2500.0,2520.0,2480.0,2500.0,1019700,1,0,0
2025-02-20,BBCA.JK,8731.34375,9000.0,9025.0,8950.0,8975.0,119260800,0,0,2
2025-02-20,BMRI.JK,5150.0,5150.0,5225.0,5100.0,5125.0,98363500,0,3,0
2025-02-19,BBRI.JK,4020.0,4020.0,4180.0,4010.0,4160.0,348358600,0,3,0
2025-02-19,BDMN.JK,2500.0,2500.0,2540.0,2500.0,2530.0,767300,1,0,0
2025-02-19,BBCA.JK,8682.8359375,8950.0,9250.0,8950.0,9225.0,154438200,0,0,2
2025-02-19,BMRI.JK,5175.0,5175.0,5400.0,5125.0,5375.0,204335500,0,3,0
2025-02-18,BDMN.JK,2530.0,2530.0,2560.0,2510.0,2530.0,916000,1,0,0
2025-02-18,BBRI.JK,4150.0,4150.0,4180.0,4030.0,4030.0,374350700,0,3,0
2025-02-18,BBCA.JK,9022.388671875,9300.0,9575.0,9250.0,9325.0,107318300,0,0,2
2025-02-18,BMRI.JK,5450.0,5450.0,5550.0,5375.0,5450.0,157430200,0,3,0
2025-02-17,BMRI.JK,5425.0,5425.0,5475.0,5175.0,5200.0,223837300,0,3,0
2025-02-17,BBRI.JK,4030.0,4030.0,4030.0,3870.0,3870.0,265737100,0,3,0
2025-02-17,BBCA.JK,9046.6416015625,9325.0,9325.0,8975.0,8975.0,89096400,0,0,2
2025-02-17,BDMN.JK,2520.0,2520.0,2540.0,2490.0,2500.0,1327500,1,0,0
2025-02-14,BBCA.JK,8707.08984375,8975.0,9075.0,8950.0,9000.0,116274500,0,0,2
2025-02-14,BMRI.JK,5125.0,5125.0,5200.0,4970.0,5100.0,239709300,0,3,0
2025-02-14,BDMN.JK,2500.0,2500.0,2530.0,2490.0,2510.0,605400,1,0,0
2025-02-14,BBRI.JK,3860.0,3860.0,4010.0,3850.0,4000.0,524909600,0,3,0
2025-02-13,BMRI.JK,5025.0,5025.0,5075.0,4900.0,4940.0,215271400,0,3,0
2025-02-13,BBCA.JK,8731.34375,9000.0,9150.0,9000.0,9100.0,90439700,0,0,2
2025-02-13,BBRI.JK,3990.0,3990.0,4030.0,3960.0,4000.0,341640600,0,3,0
2025-02-13,BDMN.JK,2510.0,2510.0,2510.0,2490.0,2510.0,180900,1,0,0
